"Attention: Your Locale Pack doesn\'t match your Magento Version. <a href='%s'>Get more information here.</a>","Achtung: Ihr Locale Pack passt nicht zur installierten Magento Version. Für mehr Information klicken Sie <a href='%s'>hier</a>."
"English (General)","Englisch (Allgemein)"
"English (Australia)","Englisch (Australien)"
"English (Canada)","Englisch (Kanada)"
"English (Hong Kong)","Englisch (Hongkong)"
"English (India)","Englisch (Indien)"
"English (Guiana)","Englisch (Guayana)"
"English (South Africa)","Englisch (Südafrika)"
"English (Custom)","Englisch (Benutzerdefiniert)"
"English language package en_US - Community Edition (CE)","Englisches Sprachpaket en_US - Community Edition (CE)"
"English language package en_AU - Community Edition (CE)","Englisches Sprachpaket en_AU - Community Edition (CE)"
"English language package en_CA - Community Edition (CE)","Englisches Sprachpaket en_CA - Community Edition (CE)"
"English language package en_HK - Community Edition (CE)","Englisches Sprachpaket en_HK - Community Edition (CE)"
"English language package en_IN - Community Edition (CE)","Englisches Sprachpaket en_IN - Community Edition (CE)"
"English language package en_GY - Community Edition (CE)","Englisches Sprachpaket en_GY - Community Edition (CE)"
"English language package en_ZA - Community Edition (CE)","Englisches Sprachpaket en_ZA - Community Edition (CE)"
"English language package en_ZZ - Community Edition (CE)","Englisches Sprachpaket en_ZZ - Community Edition (CE)"
"The %s language pack in version %s has been successfully installed.","Das Sprachpaket <span style='color:red'>%s</span> in der Version <span style='color:red'>%s</span> wurde erfolgreich installiert."
"This package is simply adding three Static Blocks to the <a href='%s'>E-Mail-Templates</a>:","Diese Erweiterung fügt einfach drei statische Blöcke den <a href='%s'>E-Mail-Vorlagen</a> hinzu:"
"Salutation","Anrede"
"Contact information","Daten zur Kontaktaufnahme"
"Closing formula","Schlussformel"
"The static blocks can be managed by the <a href='%s'>CMS system</a> in the admin area.","Die statischen Blöcke können mit dem <a href='%s'>CMS-System</a> im Admin-Bereich bearbeitet werden."
"Note for detailed information, the README file on the <a href='%s'>GitHub page</a>.","Beachten Sie für detaillierte Informationen die README-Datei auf der <a href='%s'>GitHub-Seite</a>."
"powered by","bereitgestellt von"
"and","und"
"custom stores","benutzerdefinierte Läden"
"This is your individual language pack that is only managed and maintained by you.","Dies ist Ihr ganz persönliches Sprachpaket, das nur von Ihnen verwaltet und gepflegt wird."
"Adjust the file ""%s"" with your name and the link to your website.","Passen Sie die Datei ""%s"" mit Ihrem Namen und dem Link zu Ihrer Webseite an."
"Fill out the language files in ""app/locale/en_ZZ"" with your own translations and never lose again your customizations.","Füllen Sie die Sprachdateien in ""app/locale/en_ZZ"" mit Ihren eigenen Übersetzungen und verlieren Sie so nie wieder Ihre Anpassungen."
