"Language Packs","Paquets de Langue"
"Attention: Your Locale Pack doesn\'t match your Magento Version. <a href='%s'>Get more information here.</a>","Attention: Votre Locale Pack ne correspond pas à votre version Magento. <a href='%s'>Obtenez plus d'informations ici.</a>"
"English (General)","Anglais (Général)"
"English (Australia)","Anglais (Australie)"
"English (Canada)","Anglais (Canada)"
"English (Hong Kong)","Anglais (Hong Kong)"
"English (India)","Anglais (Inde)"
"English (Guiana)","Anglais (Guyane)"
"English (South Africa)","Anglais (Afrique du Sud)"
"English (Custom)","Anglais (personnalisé)"
"English language package en_US - Community Edition (CE)","Paquet de langue anglaise en_US - Community Edition (CE)"
"English language package en_AU - Community Edition (CE)","Paquet de langue anglaise en_AU - Community Edition (CE)"
"English language package en_CA - Community Edition (CE)","Paquet de langue anglaise en_CA - Community Edition (CE)"
"English language package en_HK - Community Edition (CE)","Paquet de langue anglaise en_HK - Community Edition (CE)"
"English language package en_IN - Community Edition (CE)","Paquet de langue anglaise en_IN - Community Edition (CE)"
"English language package en_GY - Community Edition (CE)","Paquet de langue anglaise en_GY - Community Edition (CE)"
"English language package en_ZA - Community Edition (CE)","Paquet de langue anglaise en_ZA - Community Edition (CE)"
"English language package en_ZZ - Community Edition (CE)","Paquet de langue anglaise en_ZZ - Community Edition (CE)"
"The %s language pack in version %s has been successfully installed.","Le pack de langue <span style='color:red'>%s</span> dans la version <span style='color:red'>%s</span> a été installé avec succès."
"This package is simply adding three Static Blocks to the <a href='%s'>E-Mail-Templates</a>:","Ce paquet est tout simplement en ajoutant trois blocs statiques à l' <a href='%s'>E-Mail Templates</a>:"
"Salutation","Salutation"
"Contact information","Coordonnées"
"Closing formula","Formule de politesse"
"The static blocks can be managed by the <a href='%s'>CMS system</a> in the admin area.","The static blocks can be managed by the <a href='%s'>CMS system</a> in the admin area."
"Note for detailed information, the README file on the <a href='%s'>GitHub page</a>.","Remarque pour des informations détaillées, le fichier README sur la <a href='%s'>page GitHub</a>."
"powered by","alimenté par"
"and","et"
"custom stores","personnalisés magasins"
"This is your individual language pack that is only managed and maintained by you.","Il est son propre pack individuel de la langue qui est seulement géré et entretenu que par vous."
"Adjust the file ""%s"" with your name and the link to your website.","Réglez le fichier ""%s"" avec votre nom et le lien à votre site web."
"More Infos here soon!","Plus d'infos ici bientôt!"
"Fill out the language files in ""app/locale/en_ZZ"" with your own translations and never lose again your customizations.","Remplissez les fichiers de langue dans ""app/locale/en_ZZ"" avec vos propres traductions et ne jamais perdre à nouveau vos personnalisations."
