"Language Packs","Taal pakketten"
"Attention: Your Locale Pack doesn\'t match your Magento Version. <a href='%s'>Get more information here.</a>","Attentie: Je Locale Pack komt niet overeen met je Magento versie. <a href='%s'>Meer informatie vindt u hier.</a>"
"English (General)","Engels (Algemeen)"
"English (Australia)","Engels (Australië)"
"English (Canada)","Engels (Canada)"
"English (Hong Kong)","Engels (Hongkong)"
"English (India)","Engels (India)"
"English (Guiana)","Engels (Guyana)"
"English (South Africa)","Engels (Zuid-Afrika)"
"English (Custom)","Engels (Aangepast)"
"English language package en_US - Community Edition (CE)","Engelstalig pakket en_US - Community Edition (CE)"
"English language package en_AU - Community Edition (CE)","Engelstalig pakket en_AU - Community Edition (CE)"
"English language package en_CA - Community Edition (CE)","Engelstalig pakket en_CA - Community Edition (CE)"
"English language package en_HK - Community Edition (CE)","Engelstalig pakket en_HK - Community Edition (CE)"
"English language package en_IN - Community Edition (CE)","Engelstalig pakket en_IN - Community Edition (CE)"
"English language package en_GY - Community Edition (CE)","Engelstalig pakket en_GY - Community Edition (CE)"
"English language package en_ZA - Community Edition (CE)","Engelstalig pakket en_ZA - Community Edition (CE)"
"English language package en_ZZ - Community Edition (CE)","Engelstalig pakket en_ZZ - Community Edition (CE)"
"The %s language pack in version %s has been successfully installed.","Het <span style='color:red'>%s</span> taalpakket in versie <span style='color:red'>%s</span> is succesvol geïnstalleerd."
"This package is simply adding three Static Blocks to the <a href='%s'>E-Mail-Templates</a>:","Dit pakket voegt eenvoudigweg drie statische blokken toe aan de <a href='%s'>e-mail-sjablonen</a>:"
"Salutation","Aanhef"
"Contact information","Contactgegevens"
"Closing formula","Slotformule"
"The static blocks can be managed by the <a href='%s'>CMS system</a> in the admin area.","De statische blokken kunnen worden beheerd door het <a href='%s'>CMS systeem</a> in de admin area."
"Note for detailed information, the README file on the <a href='%s'>GitHub page</a>.","Opmerking voor gedetailleerde informatie, het README-bestand op de <a href='%s'>GitHub-pagina</a>."
"powered by","geleverd door"
"and","en"
"custom stores","aangepaste winkels"
"This is your individual language pack that is only managed and maintained by you.","Dit is uw individuele taalpakket dat alleen door u wordt beheerd en onderhouden."
"Adjust the file ""%s"" with your name and the link to your website.","Pas het bestand ""%s"" met uw naam en de link naar uw website aan."
"More Infos here soon!","Binnenkort meer info hier!"
"Fill out the language files in ""app/locale/en_ZZ"" with your own translations and never lose again your customizations.","Vul de taalbestanden in ""app/locale/en_ZZ"" in met uw eigen vertalingen en verlies nooit meer uw aanpassingen."
